Date,Close,High,Low,Open,Volume,Ticker
,AAPL,AAPL,AAPL,AAPL,AAPL,
2024-01-02,184.0814971923828,186.85799339797134,182.34618895522584,185.5788148528252,82488700,AAPL
2024-01-03,182.70318603515625,184.3195067154423,181.8900628291485,182.67343910134508,58414500,AAPL
2024-01-04,180.38284301757812,181.55292948513,179.36149122617633,180.6208184994182,71983600,AAPL
2024-01-05,179.658935546875,181.2256728170181,178.65742022872922,180.46214807824285,62379700,AAPL
2024-01-08,184.0021514892578,184.04182414737613,179.9762391393372,180.56128223575337,59144500,AAPL
2024-01-09,183.58570861816406,183.59561921893004,181.19593746369003,182.37594957443397,42841800,AAPL
2024-01-10,184.62686157226562,184.83509006359006,182.3759149097992,182.80231275270097,46792900,AAPL
2024-01-11,184.0319366455078,185.47968635384467,182.07847392125646,184.97395820724128,49128400,AAPL
2024-01-12,184.35916137695312,185.1722845702879,183.6352941143493,184.49798544280438,40477800,AAPL
2024-01-16,182.08837890625,182.71307958868692,179.41103406753936,180.63071876275188,65603000,AAPL
2024-01-17,181.1463623046875,181.3942635111242,178.78635310827863,179.7482109997081,47317400,AAPL
2024-01-18,187.04641723632812,187.55213023449687,184.2699207854721,184.52773258500528,78005800,AAPL
2024-01-19,189.95181274414062,190.3385380102556,187.23482528040057,187.74053828049293,68903000,AAPL
2024-01-22,192.26223754882812,193.69015075906108,190.64591702187175,190.68558968364889,60133900,AAPL
2024-01-23,193.54141235351562,194.10663433692045,192.20275498822556,193.38276708914043,42355600,AAPL
2024-01-24,192.86712646484375,194.73134826169684,192.7084660713482,193.77940103141137,53631300,AAPL
2024-01-25,192.53988647460938,194.62226243680658,191.48878789336808,193.58107445570798,54822100,AAPL
2024-01-26,190.8045654296875,193.12491668531047,190.3285994330514,192.63904008919584,44594000,AAPL
2024-01-29,190.12037658691406,190.5864320350317,187.98843240307312,190.3980247095346,47145600,AAPL
2024-01-30,186.46136474609375,190.1898085739461,185.89615786346673,189.33702781871273,55859400,AAPL
2024-01-31,182.85191345214844,185.5292584344751,182.8023453182215,185.46974943852436,55467800,AAPL
2024-02-01,185.29127502441406,185.38051582576702,182.27680306565713,182.44537406733116,64885400,AAPL
2024-02-02,184.28976440429688,185.75733532165063,177.74516644928605,178.35004600309975,102551700,AAPL
2024-02-05,186.10435485839844,187.66118143341563,184.27980591994816,186.57041025788217,69668800,AAPL
2024-02-06,187.71078491210938,187.72069551270494,185.2020260688322,185.291266866256,43490800,AAPL
2024-02-07,187.81983947753906,189.4460704904296,187.02655273524672,189.03950895453542,53439000,AAPL
2024-02-08,186.73904418945312,187.94878826120308,185.77718621487875,187.8000535767597,40962000,AAPL
2024-02-09,187.50350952148438,188.63538073939827,186.65956394365634,187.30492339729363,45155200,AAPL
2024-02-12,185.8156280517578,187.32479480430874,185.45819421957458,187.0765772861258,41781900,AAPL
2024-02-13,183.72067260742188,184.88234393093236,182.20158259974826,184.4454786725173,56529500,AAPL
2024-02-14,182.83702087402344,184.2071864451767,181.13922150541597,183.9986922104331,54630500,AAPL
2024-02-15,182.54908752441406,183.17460050228618,180.05698915939104,182.2413002337134,65434500,AAPL
2024-02-16,181.0101318359375,183.53203018346474,180.37469562592958,182.11221816970058,49752500,AAPL
2024-02-20,180.2654571533203,181.12924912087828,178.71658252873672,180.49381298899803,53665600,AAPL
2024-02-21,181.02008056640625,181.5860086349742,179.37191259479573,180.64278508736416,41371400,AAPL
2024-02-22,183.05545043945312,183.64125529629035,181.15908011476066,182.17179668082835,52292200,AAPL
2024-02-23,181.2186279296875,183.7206493014041,180.93068715953405,183.69086441483557,45119700,AAPL
2024-02-26,179.8683319091797,181.45691481099774,179.36195851579282,180.94063332165365,40867400,AAPL
2024-02-27,181.32785034179688,182.60864595739088,178.27973221361,179.80876047563007,54318900,AAPL
2024-02-28,180.12648010253906,181.814356133641,178.84568442217187,181.20870480571682,48953900,AAPL
2024-02-29,179.46128845214844,181.26831948615475,178.2499855974841,179.97758519757838,136682600,AAPL
2024-03-01,178.37904357910156,179.24283570733874,176.11530099131116,178.26982726346276,73563100,AAPL
2024-03-04,173.8515625,175.63871657984365,172.55088992856452,174.89406399657693,81510100,AAPL
2024-03-05,168.90704345703125,170.8133520831047,168.41060844555398,169.5424796657224,95132400,AAPL
2024-03-06,167.91416931152344,170.01906401050476,167.47730408815008,169.8403395327639,68587700,AAPL
2024-03-07,167.7950439453125,169.51270494606766,167.28868565722726,167.94396839769192,71765100,AAPL
2024-03-08,169.5126953125,172.4615205019895,167.73546463179477,167.79503440936114,76267000,AAPL
2024-03-11,171.518310546875,173.13669366515666,170.82330450374639,171.70695829072324,60139500,AAPL
2024-03-12,171.99485778808594,172.7891567808166,169.79068527950514,171.91542637381357,59825400,AAPL
2024-03-13,169.9098663330078,171.9551763303205,169.54249409126064,171.53817270319811,52488700,AAPL
2024-03-14,171.76651000976562,173.06716728584055,170.82328653971078,171.67715534575908,72913500,AAPL
2024-03-15,171.38922119140625,171.38922119140625,169.0758321837892,169.94956266563446,121752700,AAPL
2024-03-18,172.48138427734375,176.44294118443133,172.282813299669,174.31819990832292,75604200,AAPL
2024-03-19,174.82455444335938,175.35077434046616,171.79629786095623,173.09695515946524,55215200,AAPL
2024-03-20,177.39608764648438,177.39608764648438,173.84161109695287,174.46712406809783,53423100,AAPL
