Date,Actual,ARIMA,RF,ETS
2025-12-04,317.9584350585937,293.59033548287516,304.83924357096356,317.95844324775857
2025-12-05,321.65338134765625,293.7966343378691,312.304008585612,316.4586144081245
2025-12-08,314.2286376953125,293.7689354446894,325.23981699625654,321.65931903333717
2025-12-09,317.5263061523437,293.7726629023829,316.28196197509766,313.83688899094625
2025-12-10,320.7740173339844,293.77216136166436,314.486125386556,318.22406292180455
2025-12-11,313.4791564941406,293.7722288476321,324.9658978271484,320.5468610013992
2025-12-12,310.3013916015625,293.77221976690214,315.5128225708008,311.98641110578075
2025-12-15,309.10223388671875,293.77222098882226,312.8169127400716,310.31436916758537
2025-12-16,307.51336669921875,293.7722208243984,308.1822516886393,308.71748967286163
2025-12-17,297.85015869140625,293.77222084652357,307.2859428914388,308.21809309967267
2025-12-18,303.5361633300781,293.7722208435464,304.8385962931315,297.6299372600781
2025-12-19,308.3927307128906,293.772220843947,306.79062876383466,302.0503177862882
2025-12-22,311.1108093261719,293.77222084389314,310.9872011311849,308.4125736961291
2025-12-23,315.457763671875,293.7722208439004,312.99146575927733,310.7328962631123
2025-12-24,315.4477844238281,293.7722208438995,314.5900411987305,316.16928703536064
2025-12-26,314.7382507324219,293.77222084389973,314.5974722290039,315.23432591942316
2025-12-29,314.168701171875,293.7722208438999,314.47733815511066,313.25913453652777
2025-12-30,314.3285522460937,293.7722208439,314.4789831542969,314.1952398415712
2025-12-31,313.5790710449219,293.7722208439001,314.0628365071615,313.9573013497402
2026-01-02,315.0980224609375,293.77222084390013,315.3911458333333,314.29722330095774
2026-01-05,317.0966186523437,293.7722208439002,316.43641255696616,314.89115960728395
2026-01-06,314.3285522460937,293.77222084390024,315.692827351888,315.6240651114732
2026-01-07,322.2030029296875,293.7722208439003,319.29195688883465,314.3616208300623
2026-01-08,325.7804870605469,293.77222084390036,325.4124817911784,321.8382491505286
2026-01-09,328.9082946777344,293.7722208439004,327.5411872355143,326.50510399839834
2026-01-12,332.4957580566406,293.77222084390047,330.8031183878581,328.70786422270925
2026-01-13,336.1931457519531,293.7722208439005,333.9612567138672,331.02960475170704
2026-01-14,336.0732421875,293.7722208439006,335.87634938557943,336.2325825001515
2026-01-15,332.92547607421875,293.77222084390064,334.5357706705729,335.71482494441204
2026-01-16,330.1074523925781,293.7722208439007,331.7610202026367,333.656397847564
2026-01-20,321.9331970214844,293.77222084390075,325.7709302775065,329.91329523827784
2026-01-21,328.1488342285156,293.7722208439008,326.8258285522461,320.47328573787803
2026-01-22,330.6070861816406,293.77222084390087,329.302941792806,328.1944815748257
2026-01-23,328.19879150390625,293.7722208439009,328.9843372599284,330.25484848307053
2026-01-26,333.35516357421875,293.772220843901,331.3203283691406,328.9358619515855
2026-01-27,334.76416015625,293.77222084390104,334.0808779907227,333.16712424235936
2026-01-28,336.04327392578125,293.7722208439011,335.9846129353841,333.3103360849939
2026-01-29,338.4216003417969,293.77222084390115,337.42836415608724,336.0949782602992
2026-01-30,338.29168701171875,293.7722208439012,337.5036747233073,338.07538927462974
2026-02-02,344.6571960449219,293.77222084390127,340.9561709594727,339.03475392446217
2026-02-03,340.4601745605469,293.7722208439013,338.0396014404297,344.47512320990717
2026-02-04,333.1053161621094,293.7722208439014,335.05845021565756,339.0122872558204
2026-02-05,331.09674072265625,293.77222084390144,331.5471615600586,333.1629276245871
2026-02-06,322.87255859375,293.7722208439015,324.76108805338544,330.75640718486096
2026-02-09,324.171630859375,293.77222084390155,324.03939239501955,323.6214737051321
2026-02-10,318.4057006835937,293.7722208439016,322.156255086263,323.99537693480426
2026-02-11,311.1108093261719,293.77222084390166,313.371389465332,316.96360314439625
2026-02-12,309.1521911621094,293.7722208439017,310.4930180867513,311.17418158221955
2026-02-13,305.8045654296875,293.7722208439018,306.6296008300781,308.81758961233646
2026-02-17,302.6068115234375,293.77222084390183,303.776389058431,306.55918379977055
2026-02-18,303.7260437011719,293.7722208439019,303.9716259765625,302.43623247798547
2026-02-19,303.3462829589844,293.77222084390195,304.2230470784505,302.28959249847355
2026-02-20,314.6783142089844,293.772220843902,310.9725501505534,303.4152733196213
2026-02-23,311.4705810546875,293.77222084390206,311.8120981852214,314.34930257690075
2026-02-24,310.7011413574219,293.7722208439021,311.1101770019531,312.2307615878511
2026-02-25,312.80963134765625,293.7722208439022,311.4422032674154,310.53609663122944
2026-02-26,306.93377685546875,293.77222084390223,308.73654693603515,311.3786868129091
2026-02-27,311.21075439453125,293.7722208439023,308.7968221028646,307.00824644914996
2026-03-02,306.1443176269531,293.77222084390235,307.49129374186197,310.8871946186199
2026-03-03,303.3462829589844,293.7722208439024,304.09795145670574,306.90992268286067
2026-03-04,303.23638916015625,293.77222084390246,303.48465250651043,303.1866356360325
2026-03-05,300.6981506347656,293.7722208439025,301.9630303955078,301.81081504273385
2026-03-06,298.0899963378906,293.7722208439026,301.2761240641276,300.7779637138023
2026-03-09,306.010009765625,293.77222084390263,304.81370005289716,297.77175347885054
2026-03-10,306.92999267578125,293.7722208439027,305.69046702067055,306.780904860026
2026-03-11,308.4200134277344,293.77222084390274,307.7634775797526,306.77560907870975
2026-03-12,303.2099914550781,293.7722208439028,304.2686656697591,306.99967674799694
2026-03-13,301.4599914550781,293.77222084390286,302.18052744547526,303.29501584807053
2026-03-16,304.4200134277344,293.7722208439029,303.5357506306966,301.146933803258
2026-03-17,309.4100036621094,293.77222084390297,307.70088826497397,305.1960678865604
2026-03-18,306.29998779296875,293.772220843903,306.8587936401367,309.26075350016015
