Date,Actual,ARIMA,RF,ETS
2024-01-02,248.4199981689453,366.5636051012668,355.328200785319,248.25723722951287
2024-01-03,238.4499969482422,370.4247406293258,242.38689956665038,245.51435116066503
2024-01-04,237.92999267578125,371.58064781226363,240.646867574056,233.43120530837936
2024-01-05,237.4900054931641,371.92665106465756,241.8742011006673,235.67501748987996
2024-01-08,240.4499969482422,372.0302956665886,242.09633448282878,231.47947036407868
2024-01-09,234.9600067138672,372.0613193570408,234.0862333170573,236.43095335996216
2024-01-10,233.94000244140625,372.0706124954923,230.28163401285806,233.33360246906028
2024-01-11,227.22000122070312,372.07339627145524,228.43753407796223,229.86546232941316
2024-01-12,218.88999938964844,372.0742300853338,228.6448344930013,226.25580198961754
2024-01-16,219.9100036621093,372.0744798352014,220.28750264485677,214.1528984468286
2024-01-17,215.5500030517578,372.0745546420593,217.8307694498698,216.92797742027162
2024-01-18,211.8800048828125,372.07457705005135,213.31260396321613,214.80784359055045
2024-01-19,212.19000244140625,372.07458376224486,212.00213607788086,208.7358339943479
2024-01-22,208.8000030517578,372.0745857728463,210.66963617960613,211.83492709899585
2024-01-23,209.13999938964844,372.07458637511115,206.7882669576009,204.67895645609093
2024-01-24,207.8300018310547,372.07458655551636,205.453635152181,206.8887560125993
2024-01-25,182.6300048828125,372.0745866095605,191.41777028401694,207.6746238498281
2024-01-26,183.25,372.0745866257506,184.2721661376953,180.71167426765234
2024-01-29,190.92999267578125,372.0745866306007,188.00042943318684,183.47522862732484
2024-01-30,191.58999633789065,372.0745866320537,190.82946380615235,187.0384116011273
2024-01-31,187.2899932861328,372.074586632489,188.94946248372395,189.8341409490539
2024-02-01,188.8600006103516,372.0745866326194,187.7165337117513,187.69857709035495
2024-02-02,187.9100036621093,372.07458663265845,188.97100275675453,186.6512645870117
2024-02-05,181.0599975585937,372.07458663267016,183.53229904174805,188.60389252692644
2024-02-06,185.1000061035156,372.0745866326737,184.87473729451497,177.9892956705886
2024-02-07,187.5800018310547,372.07458663267477,187.40046834309896,183.63980643325576
2024-02-08,189.5599975585937,372.0745866326751,188.41516642252603,188.155408443548
2024-02-09,193.57000732421875,372.0745866326752,191.8388715616862,187.6757498026689
2024-02-12,188.1300048828125,372.0745866326753,190.92220311482748,194.44661750574727
2024-02-13,184.0200042724609,372.0745866326753,185.02303649902345,185.32166119614138
2024-02-14,188.7100067138672,372.0745866326753,187.62910517374675,183.07212740232112
2024-02-15,200.4499969482422,372.0745866326753,196.34979873657227,189.4926988323694
2024-02-16,199.9499969482422,372.0745866326753,198.83789779663087,198.54143438302756
2024-02-20,193.759994506836,372.0745866326753,196.39809641520182,201.1853134699756
2024-02-21,194.7700042724609,372.0745866326753,195.47216903686524,191.1982385007779
2024-02-22,197.4100036621093,372.0745866326753,196.3161026509603,193.8887304546125
2024-02-23,191.97000122070312,372.0745866326753,194.48130030314127,198.44509268493917
2024-02-26,199.3999938964844,372.0745866326753,197.81979629516601,190.72419734984672
2024-02-27,199.72999572753903,372.0745866326753,199.97812983194987,200.5865944041351
2024-02-28,202.0399932861328,372.0745866326753,200.36546213785806,197.1362926596383
2024-02-29,201.8800048828125,372.0745866326753,200.83870223999023,201.26875292796447
2024-03-01,202.63999938964844,372.0745866326753,200.62096654256186,203.13485072017025
2024-03-04,188.13999938964844,372.0745866326753,192.89219970703124,201.35644270824716
2024-03-05,180.7400054931641,372.0745866326753,184.22976984659832,190.0586207249667
2024-03-06,176.5399932861328,372.0745866326753,179.7292633565267,178.47816608956316
2024-03-07,178.64999389648438,372.0745866326753,177.9139958190918,176.04185565498503
2024-03-08,175.33999633789062,372.0745866326753,176.4346969095866,179.92159826098327
2024-03-11,177.77000427246094,372.0745866326753,176.3906685892741,174.23914978956918
2024-03-12,177.5399932861328,372.0745866326753,176.58369552612305,179.28617103386725
2024-03-13,169.47999572753906,372.0745866326753,171.5513306172689,175.14170155434985
2024-03-14,162.5,372.0745866326753,166.22200047810873,169.1608648250226
2024-03-15,163.57000732421875,372.0745866326753,164.2705709330241,164.0960812411505
2024-03-18,173.8000030517578,372.0745866326753,171.1731359354655,162.4117488827867
2024-03-19,171.32000732421875,372.0745866326753,173.1903388977051,175.15386583729813
2024-03-20,175.66000366210938,372.0745866326753,173.68190241495768,169.03882076279314
2024-03-21,172.82000732421875,372.0745866326753,173.2368717956543,175.05433981199042
2024-03-22,170.8300018310547,372.0745866326753,171.5330354309082,174.35534279755825
2024-03-25,172.6300048828125,372.0745866326753,171.66643610636393,169.81702094472126
2024-03-26,177.6699981689453,372.0745866326753,175.4763660176595,174.2769763339801
2024-03-27,179.8300018310547,372.0745866326753,177.81103474934895,175.23279766726102
2024-03-28,175.7899932861328,372.0745866326753,176.06246292114258,179.3286010865243
2024-04-01,175.22000122070312,372.0745866326753,175.38626759847006,177.40480830706005
2024-04-02,166.6300048828125,372.0745866326753,170.04140335083008,174.20936249319985
2024-04-03,168.3800048828125,372.0745866326753,169.0971694946289,168.6031361456946
2024-04-04,171.11000061035156,372.0745866326753,170.4975336710612,166.06921545584015
2024-04-05,164.89999389648438,372.0745866326753,166.97402974446615,170.61757267417713
2024-04-08,172.97999572753906,372.0745866326753,171.49923080444336,166.59553306623783
2024-04-09,176.8800048828125,372.0745866326753,175.2411368815104,171.74908086769042
2024-04-10,171.75999450683594,372.0745866326753,172.7198639933268,178.5251114365405
2024-04-11,174.60000610351562,372.0745866326753,173.67290456136067,169.6648419213883
2024-04-12,171.0500030517578,372.0745866326753,172.8172359720866,174.13671211041216
2024-04-15,161.47999572753906,372.0745866326753,164.91169764200848,172.6971708698552
2024-04-16,157.11000061035156,372.0745866326753,159.61683385213217,160.76208225413632
2024-04-17,155.4499969482422,372.0745866326753,155.63376434326173,159.0058429048672
2024-04-18,149.92999267578125,372.0745866326753,150.28309575398762,153.26474716395958
2024-04-19,147.0500030517578,372.0745866326753,148.7227345275879,149.69763403834062
2024-04-22,142.0500030517578,372.0745866326753,147.15990214029947,148.67903893279916
2024-04-23,144.67999267578125,372.0745866326753,146.87562978108724,141.19980928984015
2024-04-24,162.1300048828125,372.0745866326753,157.01873591105144,146.37768808591616
2024-04-25,170.17999267578125,372.0745866326753,165.30836217244467,159.41604443659747
2024-04-26,168.2899932861328,372.0745866326753,171.76482874552408,169.58087502666837
2024-04-29,194.0500030517578,372.0745866326753,184.16680094401042,169.91691607287058
2024-04-30,183.27999877929688,372.0745866326753,188.62109934488933,192.38228711906555
2024-05-01,179.99000549316406,372.0745866326753,180.72916966756185,185.3873774010664
2024-05-02,180.00999450683594,372.0745866326753,180.52139745076497,177.90752810426952
2024-05-03,181.19000244140625,372.0745866326753,180.41013463338217,179.67389753242406
2024-05-06,184.759994506836,372.0745866326753,183.30439626057944,182.75277474500794
2024-05-07,177.80999755859375,372.0745866326753,181.0733315531413,183.72052919797898
2024-05-08,174.72000122070312,372.0745866326753,176.49456761678059,179.8227490949395
2024-05-09,171.97000122070312,372.0745866326753,172.6911006164551,172.6265064930285
2024-05-10,168.47000122070312,372.0745866326753,171.08450119018553,171.70791885943433
2024-05-13,171.88999938964844,372.0745866326753,172.4676666768392,170.1596204222443
2024-05-14,177.5500030517578,372.0745866326753,175.88566899617513,170.84922510398107
2024-05-15,173.99000549316406,372.0745866326753,174.6964370727539,179.2047494251365
2024-05-16,174.83999633789062,372.0745866326753,174.6117323811849,171.90323756850762
2024-05-17,177.4600067138672,372.0745866326753,176.71017150878907,174.4816817765365
2024-05-20,174.9499969482422,372.0745866326753,175.7918320719401,178.9838928032012
2024-05-21,186.6000061035156,372.0745866326753,182.01067052205403,174.08074643229205
2024-05-22,180.11000061035156,372.0745866326753,181.0475003560384,188.0993351394188
2024-05-23,173.74000549316406,372.0745866326753,175.90850326538086,178.11091509098677
2024-05-24,179.24000549316406,372.0745866326753,177.4597371927897,173.5916794415712
2024-05-28,176.75,372.0745866326753,177.0816664123535,180.6902201243551
2024-05-29,176.19000244140625,372.0745866326753,176.36166783650717,175.88091534663357
2024-05-30,178.7899932861328,372.0745866326753,178.07506215413412,178.0302194855735
2024-05-31,178.0800018310547,372.0745866326753,177.17133443196616,176.5396788739029
2024-06-03,176.2899932861328,372.0745866326753,176.51359547932944,177.7677684567052
2024-06-04,174.77000427246094,372.0745866326753,175.90906901041666,177.94295190008464
2024-06-05,175.0,372.0745866326753,174.8474334716797,173.87804203040042
2024-06-06,177.94000244140625,372.0745866326753,177.67170135498046,176.81689263042378
2024-06-07,177.47999572753906,372.0745866326753,177.38333038330077,175.67962395988684
2024-06-10,173.7899932861328,372.0745866326753,174.36352935791015,177.16089851401168
2024-06-11,170.66000366210938,372.0745866326753,172.27130193074544,175.49595093781485
2024-06-12,177.2899932861328,372.0745866326753,175.13842936197918,169.81286385358877
2024-06-13,182.47000122070312,372.0745866326753,180.48720072428387,178.92813643122633
2024-06-14,178.00999450683594,372.0745866326753,179.41459665934244,180.14600916819242
2024-06-17,187.44000244140625,372.0745866326753,182.97193466186525,177.80536561190536
2024-06-18,184.8600006103516,372.0745866326753,184.66156707763673,188.78714488273715
2024-06-20,181.57000732421875,372.0745866326753,182.53607101440429,184.0011698942892
2024-06-21,183.009994506836,372.0745866326753,182.91469706217447,183.49610322834388
2024-06-24,182.5800018310547,372.0745866326753,183.50303497314454,180.8009953327729
2024-06-25,187.3500061035156,372.0745866326753,185.67057017008463,182.26638161440124
2024-06-26,196.3699951171875,372.0745866326753,192.14746424357097,188.82634725885998
2024-06-27,197.4199981689453,372.0745866326753,197.12033233642578,195.19213297121362
2024-06-28,197.8800048828125,372.0745866326753,197.48613637288412,199.22653277872365
2024-07-01,209.8600006103516,372.0745866326753,205.64970067342122,195.7080955921613
2024-07-02,231.259994506836,372.0745866326753,220.65036371866861,209.21530364115097
2024-07-03,246.38999938964844,372.0745866326753,237.8114330037435,232.28901048293727
2024-07-05,251.5200042724609,372.0745866326753,247.50680302937826,245.06744292908076
2024-07-08,252.94000244140625,372.0745866326753,255.5654335530599,253.2503124169301
2024-07-09,262.3299865722656,372.0745866326753,259.4016921488444,250.781625385636
2024-07-10,263.260009765625,372.0745866326753,261.0658386739095,261.79801482887297
2024-07-11,241.02999877929688,372.0745866326753,249.59300013224285,264.8948314938796
2024-07-12,248.22999572753903,372.0745866326753,245.08646372477213,240.77333283041284
2024-07-15,252.63999938964844,372.0745866326753,250.2686659749349,249.91043890791437
2024-07-16,256.5599975585937,372.0745866326753,255.12529856363932,250.37765981130914
2024-07-17,248.5,372.0745866326753,251.7755335489909,256.1609495394378
2024-07-18,249.22999572753903,372.0745866326753,246.20716415405275,250.36776189345008
2024-07-19,239.1999969482422,372.0745866326753,241.22486485799155,248.31675070436293
2024-07-22,251.509994506836,372.0745866326753,244.2400303141276,241.33532782609802
2024-07-23,246.3800048828125,372.0745866326753,248.24306935628255,249.0220344201574
2024-07-24,215.9900054931641,372.0745866326753,224.8995369974772,246.21412706590255
2024-07-25,220.25,372.0745866326753,222.06443440755208,218.46393935824943
2024-07-26,219.8000030517578,372.0745866326753,220.94380279541016,219.21704803248574
