Date,Actual,ARIMA,RF,ETS
2024-01-02,366.1055603027344,371.7755601606517,381.2906513468424,366.0396742764452
2024-01-03,365.8389892578125,373.10395128022117,366.1784056599935,368.32062920693556
2024-01-04,363.2131652832031,372.0553631569093,365.04915822347004,367.6615878190198
2024-01-05,363.0256042480469,372.8830807664643,367.2710595703125,366.24172058133377
2024-01-08,369.87640380859375,372.2297031737634,367.9633781941732,364.22465224149386
2024-01-09,370.96234130859375,372.7454612951239,369.70481079101563,371.08889765578533
2024-01-10,377.8526306152344,372.338333719482,370.06170735677085,372.82108752006127
2024-01-11,379.6887817382813,372.65971132545576,382.70162495930987,379.3456319892288
2024-01-12,383.47943115234375,372.40602076117403,383.441423034668,382.40854162337905
2024-01-16,385.2563171386719,372.60628029466693,382.5327739461263,384.388805522924
2024-01-17,384.4666137695313,372.4481978342517,385.60963673909504,386.1810825015889
2024-01-18,388.8100280761719,372.57298671757474,387.8255975341797,386.04531025604695
2024-01-19,393.5484313964844,372.474479474403,390.9909997558594,390.0291434556477
2024-01-22,391.4162292480469,372.55223951801315,394.1483731079102,396.0101279531402
2024-01-23,393.7754211425781,372.4908570006462,393.60260996500654,392.0667259440427
2024-01-24,397.3884582519531,372.53931164133155,396.6155368041992,394.45233985938125
2024-01-25,399.6687316894531,372.5010621133044,398.6053395589193,398.73685268621523
2024-01-26,398.7408447265625,372.53125584574315,399.1941841634115,400.66267082199533
2024-01-29,404.4564514160156,372.5074212639783,401.08045186360675,400.9757494693052
2024-01-30,403.3409729003906,372.52623600632927,402.561760559082,404.90314636245955
2024-01-31,392.4723815917969,372.51138386684283,397.1641552734375,403.81563124513804
2024-02-01,398.5927429199219,372.5231076356604,397.82938191731773,393.6000075520155
2024-02-02,405.9372253417969,372.5138532951119,404.3328310139974,399.3813928123311
2024-02-05,400.4387512207031,372.5211582866038,401.8459619140625,407.98977362504024
2024-02-06,400.28076171875,372.5153920301656,401.28712697347004,400.68974913773906
2024-02-07,408.7308349609375,372.51994367315893,406.51568003336587,400.5690012221991
2024-02-08,408.7900085449219,372.5163507954979,408.49823588053385,409.7143093748135
2024-02-09,415.1473083496094,372.51918683770464,411.882778523763,409.4290528161785
2024-02-12,409.9253234863281,372.51694820445186,412.62152669270836,417.054221681989
2024-02-13,401.1001281738281,372.518715272244,403.9055579630534,410.0367995549745
2024-02-14,404.9769592285156,372.51732043520303,403.2488885498047,401.2384804304657
2024-02-15,402.0792236328125,372.51842145146253,402.4708025105794,405.80801514933404
2024-02-16,399.6067504882813,372.5175523629826,399.97794962565104,402.5663515170941
2024-02-20,398.3507690429688,372.5182383789968,399.86328572591145,401.35156405838256
2024-02-21,397.74749755859375,372.51769687144895,399.0694392903646,398.31359316594217
2024-02-22,407.1130981445313,372.5181243110689,403.78550028483073,397.7578570725211
2024-02-23,405.8175354003906,372.517786911102,405.64747497558596,407.8310605961781
2024-02-26,403.0484619140625,372.51805323948247,403.2665836588542,406.19883678279183
2024-02-27,402.9890747070313,372.51784301182,403.26423329671223,404.6909874400315
2024-02-28,403.2264404296875,372.51800895609523,403.28242685953774,402.8557247440245
2024-02-29,409.0812377929688,372.51787796713705,406.0331543986003,403.14585787851036
2024-03-01,410.9207153320313,372.5179813639378,410.4868487548828,409.7053856109066
2024-03-04,410.34710693359375,372.51789974714694,410.31886423746744,411.2175100646195
2024-03-05,398.21234130859375,372.51796417177616,403.2236077880859,411.912368835194
2024-03-06,397.6585083007813,372.5179133178672,399.02492279052734,397.98277411303883
